N,P,K,temperature,humidity,ph,rainfall,label,Dist Name,Year,Dist Code,State Code,State Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha)
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,rice,ahmednagar,1980,102,7,Maharashtra,8.2,15.4,1878.05
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice,gorakhpur,2015,221,12,Uttar Pradesh,320.34,628.4,1961.67
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,sangrur,2003,175,9,Punjab,372.64,1595.12,4280.59
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,murshidabad,1987,804,13,West Bengal,356.82,532.61,1492.66
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,rice,ludhiana,1989,171,9,Punjab,210,877,4176.19
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,ludhiana,1993,171,9,Punjab,245,954.45,3895.71
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,rice,kolhapur,2005,107,7,Maharashtra,108.9,247.8,2275.48
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,rice,east godavari,1985,46,1,Andhra Pradesh,377.5,911.5,2414.57
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,murshidabad,1998,804,13,West Bengal,362.98,994.05,2738.58
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice,east godavari,1998,46,1,Andhra Pradesh,414,1044,2521.74
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice,kolhapur,1980,107,7,Maharashtra,100,213.3,2133
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,rice,sangrur,1997,175,9,Punjab,339.56,1301.16,3831.9
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,murshidabad,2005,804,13,West Bengal,404.26,1189.59,2942.64
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,rice,kolhapur,2001,107,7,Maharashtra,106.3,290.5,2732.83
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice,bareilly,1999,199,12,Uttar Pradesh,181.92,386.3,2123.46
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice,hoshangabad,1985,43,6,Madhya Pradesh,12.8,18.3,1429.69
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice,east godavari,1999,46,1,Andhra Pradesh,406.21,1273.77,3135.74
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,rice,guntur,2016,49,1,Andhra Pradesh,194.37,801.72,4124.67
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,rice,karnal,2014,184,4,Haryana,489.02,1575.4,3221.55
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice,kolhapur,1995,107,7,Maharashtra,102.3,228.5,2233.63
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice,sangrur,1981,175,9,Punjab,112,384,3428.57
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice,sangrur,1979,175,9,Punjab,103,315,3058.25
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,rice,hoshangabad,1996,43,6,Madhya Pradesh,10.6,14.1,1330.19
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,bareilly,2017,199,12,Uttar Pradesh,145.23,357.42,2460.99
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice,gorakhpur,2003,221,12,Uttar Pradesh,315.13,756.24,2399.77
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice,east godavari,2017,46,1,Andhra Pradesh,386.54,1672.79,4327.61
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,rice,bareilly,1996,199,12,Uttar Pradesh,139.63,336.13,2407.29
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice,sangrur,1988,175,9,Punjab,220,721,3277.27
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice,karnal,2004,184,4,Haryana,486.69,1526.18,3135.81
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,rice,mandya,2011,68,5,Karnataka,74.16,251.64,3393.2
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,rice,hoshangabad,1979,43,6,Madhya Pradesh,11.9,4.2,352.94
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,rice,kolhapur,1983,107,7,Maharashtra,99.3,215.2,2167.17
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,rice,mandya,2004,68,5,Karnataka,91.99,339.53,3690.94
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice,karnal,1982,184,4,Haryana,330,918,2781.82
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,rice,sangrur,1995,175,9,Punjab,327.4,1112.2,3397.07
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,rice,sangrur,1992,175,9,Punjab,308.4,1161.64,3766.67
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice,bareilly,2009,199,12,Uttar Pradesh,163.08,290.13,1779.07
83,60,36,25.54501241,80.08306639,6.90598899,201.8088765,rice,sangrur,2011,175,9,Punjab,385.88,1676.12,4343.63
89,45,36,21.28117378,80.48144528,6.466942504,185.3440287,rice,hoshangabad,2001,43,6,Madhya Pradesh,11.4,13.8,1210.53
91,35,39,23.82689126,80.38912234,6.972117899,206.6428803,rice,ludhiana,1993,171,9,Punjab,245,954.45,3895.71
76,47,42,20.12127928,83.30087578,5.751193969,264.0076318,rice,mandya,1999,68,5,Karnataka,78.92,246.36,3121.64
93,56,42,23.84576555,82.20874542,7.390509018,193.5544482,rice,hoshangabad,1992,43,6,Madhya Pradesh,10.7,12.8,1196.26
99,55,35,21.72090178,80.19077747,6.543121481,278.0479237,rice,gorakhpur,2017,221,12,Uttar Pradesh,319.73,805.12,2518.15
97,59,43,26.38202074,84.05622338,6.267035713,271.7734948,rice,ahmednagar,2017,102,7,Maharashtra,16.2,37.3,2302.47
60,55,44,22.92624155,82.33250799,7.851980886,264.2918232,rice,hoshangabad,2006,43,6,Madhya Pradesh,15.93,21.33,1338.98
77,42,42,20.14380705,81.61431957,7.64662203,262.5972808,rice,ahmednagar,1995,102,7,Maharashtra,5.8,9.3,1603.45
91,50,40,20.85101394,84.12571404,6.46306057,231.1669448,rice,karnal,1979,184,4,Haryana,316,594,1879.75
89,45,36,21.34602383,80.47997837,6.444510739,186.0680223,rice,karnal,2000,184,4,Haryana,481.84,1308.62,2715.86
62,42,36,22.79210304,82.02033927,6.427275645,247.6089772,rice,ludhiana,2013,171,9,Punjab,269.9,1189.65,4407.74
97,59,43,26.36269246,84.01514623,6.294694905,271.9169447,rice,chhindwara,2015,9,6,Madhya Pradesh,31,54,1741.94
78,58,44,26.81819797,80.90639103,5.101098199,284.0829981,rice,sangrur,1993,175,9,Punjab,332.4,1306.24,3929.72
68,57,43,26.10041199,80.33292358,5.69850372,182.9409252,rice,ahmednagar,2006,102,7,Maharashtra,8.4,6.6,785.71
89,54,38,24.44068948,83.56444059,6.692928164,230.7437351,rice,murshidabad,2003,804,13,West Bengal,403.46,1113.59,2760.1
78,40,38,26.48192975,83.87294147,7.534988166,249.3224162,rice,guntur,2012,49,1,Andhra Pradesh,206.87,725.08,3504.99
76,49,42,25.00064568,84.4450334,5.181789729,197.2238107,rice,murshidabad,2001,804,13,West Bengal,395.06,1085.35,2747.3
78,42,42,20.16979923,81.58146929,7.637849535,263.2869435,rice,mandya,2009,68,5,Karnataka,79.96,263.41,3294.27
99,55,35,21.71679017,80.21269716,6.48743747,277.4373693,rice,ludhiana,1982,171,9,Punjab,133,524,3939.85
78,36,37,26.95713988,81.45309635,6.141239374,194.4482852,rice,chhindwara,2004,9,6,Madhya Pradesh,22.68,15.22,671.08
95,55,42,26.79123831,82.18985303,5.956361973,194.6976247,rice,mandya,2010,68,5,Karnataka,81.04,277.06,3418.81
60,51,36,22.81410699,82.80067884,6.059691608,257.5999318,rice,kolhapur,2006,107,7,Maharashtra,110.4,286.4,2594.2
92,35,40,22.20754241,80.37061028,6.350606455,200.9851396,rice,murshidabad,1978,804,13,West Bengal,272.8,348.59,1277.82
60,36,43,23.45336005,83.08293081,5.297840306,219.3380544,rice,ludhiana,1989,171,9,Punjab,210,877,4176.19
79,43,39,21.63704839,80.74196805,7.073805058,212.0094281,rice,chhindwara,1978,9,6,Madhya Pradesh,26.7,13.5,505.62
67,53,41,24.99289797,80.52772612,7.788154625,257.5506576,rice,east godavari,1995,46,1,Andhra Pradesh,418,1140,2727.27
83,41,43,21.00951352,82.66088293,6.242620284,234.0881534,rice,sangrur,2014,175,9,Punjab,385.88,1817.92,4711.1
95,55,42,26.76996877,82.15813687,5.953078161,193.4550315,rice,chhindwara,1991,9,6,Madhya Pradesh,19.1,10.8,565.45
66,60,38,22.05182774,83.44795211,6.370054909,232.4475146,rice,gorakhpur,1992,221,12,Uttar Pradesh,314.53,499.04,1586.62
73,40,38,20.3905205,82.19411282,7.57956576,245.1103251,rice,gorakhpur,1982,221,12,Uttar Pradesh,300.4,306.7,1020.97
85,37,39,24.47171224,82.73265955,6.356829805,224.6957354,rice,ludhiana,2004,171,9,Punjab,259.75,1199.65,4618.48
64,45,43,25.67131139,83.56990016,5.550827364,208.8430007,rice,ludhiana,2005,171,9,Punjab,262.75,1184.15,4506.76
93,58,38,20.61862064,83.75166005,6.948697496,281.143257,rice,east godavari,1995,46,1,Andhra Pradesh,418,1140,2727.27
78,35,44,26.58584584,84.68075244,7.062922593,183.077741,rice,ahmednagar,1990,102,7,Maharashtra,7.5,7.1,946.67
88,55,45,24.63174784,80.39516934,7.73632469,253.4522036,rice,murshidabad,2015,804,13,West Bengal,383,1257.25,3282.64
92,53,38,26.95223591,81.89702545,7.084499516,290.4810961,rice,sangrur,1985,175,9,Punjab,216,748,3462.96
66,60,38,22.12300684,83.46846519,6.374795175,231.6427656,rice,mandya,2010,68,5,Karnataka,81.04,277.06,3418.81
66,53,41,25.08641346,80.55362687,7.76903156,257.5834788,rice,kolhapur,2011,107,7,Maharashtra,104.9,280.88,2677.6
78,35,44,26.52220445,84.67138006,7.066900721,184.1559818,rice,ahmednagar,2017,102,7,Maharashtra,16.2,37.3,2302.47
97,50,41,24.58581864,80.51630706,7.050227113,259.5077228,rice,east godavari,1984,46,1,Andhra Pradesh,380.5,923.7,2427.6
67,59,41,21.9573153,80.96955231,5.997596811,212.1894923,rice,guntur,2010,49,1,Andhra Pradesh,401.59,1090.52,2715.51
81,41,38,22.59785818,83.76000798,7.52355476,201.253475,rice,mandya,1986,68,5,Karnataka,69,211,3057.97
64,45,43,25.60839229,83.50352334,5.554691962,209.8645832,rice,hoshangabad,2013,43,6,Madhya Pradesh,41.8,65.92,1577.03
78,40,38,26.47623223,83.87161577,7.550495046,249.7007942,rice,hoshangabad,1993,43,6,Madhya Pradesh,10.7,13.6,1271.03
61,53,43,26.33182061,81.08613618,6.331559959,223.421562,rice,bareilly,2014,199,12,Uttar Pradesh,163.95,337.57,2058.98
88,55,45,24.66514063,80.40279176,7.715191032,252.9780357,rice,chhindwara,1982,9,6,Madhya Pradesh,26,21.5,826.92
85,37,39,24.53269439,82.78642278,6.364448386,225.1175166,rice,guntur,1980,49,1,Andhra Pradesh,375,846,2256
88,55,45,24.66437571,80.3656467,7.751422753,253.1032657,rice,sangrur,1993,175,9,Punjab,332.4,1306.24,3929.72
78,58,44,26.76596408,80.89680778,5.140358124,283.7513199,rice,mandya,2003,68,5,Karnataka,54.56,176.86,3241.57
93,58,38,20.59691445,83.77196038,6.91825332,279.0337356,rice,chhindwara,1982,9,6,Madhya Pradesh,26,21.5,826.92
94,53,40,20.23932417,82.85359307,5.701447256,241.9612042,rice,bareilly,1989,199,12,Uttar Pradesh,131.9,284.1,2153.9
97,59,43,26.4061249,84.04606086,6.297917178,272.4958611,rice,chhindwara,1987,9,6,Madhya Pradesh,26,28,1076.92
76,47,42,20.07951456,83.30874582,5.738139555,263.7048056,rice,sangrur,2011,175,9,Punjab,385.88,1676.12,4343.63
97,36,45,22.18268321,81.79314558,6.938879278,278.2908426,rice,kolhapur,2000,107,7,Maharashtra,106.7,233.7,2190.25
93,53,38,26.99133838,81.90853162,7.089000275,291.2025063,rice,meerut,1991,191,12,Uttar Pradesh,20.79,41.53,1997.3
74,54,38,25.62164779,83.48210593,7.10103794,216.4631491,rice,murshidabad,1980,804,13,West Bengal,302.5,421.39,1393.02
89,54,38,24.47317973,83.53428863,6.680641713,230.3156451,rice,guntur,1993,49,1,Andhra Pradesh,357.64,1156.16,3232.75
95,52,36,26.17947157,83.81239156,5.5499511,287.121591,rice,ludhiana,1985,171,9,Punjab,182,694,3813.19
78,35,44,26.61675972,84.66011498,7.083461881,183.5259445,rice,hoshangabad,2017,43,6,Madhya Pradesh,136.8,312.65,2285.45
91,35,39,23.83287099,80.42454435,6.961684366,205.7597176,rice,mandya,2016,68,5,Karnataka,43.66,113.68,2603.46
66,60,38,22.09448531,83.46248563,6.382564006,232.4287974,rice,bareilly,1994,199,12,Uttar Pradesh,136.65,248.48,1818.37
68,57,43,26.05904765,80.38535638,5.702139959,183.3021926,rice,karnal,1978,184,4,Haryana,288.9,867,3001.04
89,45,36,21.34388089,80.45272247,6.423748767,184.4100209,rice,kolhapur,2002,107,7,Maharashtra,106.1,234.7,2212.06
95,39,36,23.85014174,83.14811499,5.567037474,285.8959246,rice,gorakhpur,1993,221,12,Uttar Pradesh,313.8,635.34,2024.67
83,58,45,25.74563063,83.47297977,5.873779689,245.4230521,rice,chhindwara,1992,9,6,Madhya Pradesh,18.6,12.9,693.55
78,40,38,26.43233745,83.84061447,7.531502877,247.9033548,rice,gorakhpur,2001,221,12,Uttar Pradesh,321.34,633.77,1972.27
93,56,42,23.83835814,82.21249845,7.367407186,193.8772133,rice,bareilly,2011,199,12,Uttar Pradesh,162.32,407.37,2509.67
75,38,39,23.47261851,84.80415821,6.215918029,284.0177781,rice,sangrur,1988,175,9,Punjab,220,721,3277.27
77,36,37,26.86886419,81.41810219,6.132887423,194.834453,rice,chhindwara,1978,9,6,Madhya Pradesh,26.7,13.5,505.62
63,44,41,24.11102192,83.73266398,5.615142809,257.6074042,rice,murshidabad,1979,804,13,West Bengal,319.2,466.69,1462.06
90,44,38,23.82541051,83.86389982,7.485251316,241.4199829,rice,east godavari,1979,46,1,Andhra Pradesh,326,675,2070.55
94,50,37,25.63602095,80.62490957,6.968064972,208.5677736,rice,guntur,1982,49,1,Andhra Pradesh,352.1,822.7,2336.55
67,45,38,22.66210584,82.12963003,7.308594176,259.9979667,rice,ludhiana,1997,171,9,Punjab,246.3,944.3,3833.94
75,54,36,26.26768001,84.53587743,7.042027462,258.9061412,rice,mandya,2015,68,5,Karnataka,58.49,214.38,3665.24
63,44,41,24.25027379,83.70654268,5.582277753,256.9856127,rice,hoshangabad,1989,43,6,Madhya Pradesh,12,12.4,1033.33
78,40,38,26.46073085,83.84569287,7.55459229,247.4667128,rice,meerut,2005,191,12,Uttar Pradesh,54.83,123.72,2256.62
65,60,43,21.99179023,81.89769416,5.654207726,226.9507121,rice,hoshangabad,1981,43,6,Madhya Pradesh,12.4,10.5,846.77
93,56,36,24.03949075,82.04795267,6.959056577,184.579558,rice,east godavari,2013,46,1,Andhra Pradesh,404.68,1211.71,2994.24
77,38,36,21.86218254,80.20065609,5.944247731,223.7156834,rice,kolhapur,1980,107,7,Maharashtra,100,213.3,2133
66,53,41,25.11534196,80.52112793,7.759441642,256.8232311,rice,hoshangabad,2014,43,6,Madhya Pradesh,103,190.67,1851.17
91,50,40,20.81861977,84.14193961,6.449986933,229.1902742,rice,chhindwara,1985,9,6,Madhya Pradesh,27.1,24.2,892.99
99,57,35,26.68085618,81.16244099,5.954016468,272.2474363,rice,sangrur,1989,175,9,Punjab,262,1065,4064.89
74,35,40,26.41908073,80.15244013,6.986203774,241.9606827,rice,mandya,2003,68,5,Karnataka,54.56,176.86,3241.57
86,59,35,25.81294947,82.14342881,6.944347792,243.4152598,rice,east godavari,2003,46,1,Andhra Pradesh,399.99,1631.55,4078.98
85,58,41,21.79389782,80.30692384,7.032565678,226.8085518,rice,east godavari,2014,46,1,Andhra Pradesh,394.12,1563.23,3966.38
83,41,43,21.00239036,82.66981536,6.256020125,233.1956658,rice,karnal,2017,184,4,Haryana,508.45,1927.62,3791.18
89,35,40,23.64743699,83.62548742,5.857010887,291.4738132,rice,meerut,1994,191,12,Uttar Pradesh,26.55,61.74,2325.08
83,58,45,25.8143729,83.52592308,5.876026826,245.7165589,rice,guntur,1989,49,1,Andhra Pradesh,384.4,1149.5,2990.37
63,44,41,24.13844763,83.70858741,5.570586252,255.8672736,rice,sangrur,1981,175,9,Punjab,112,384,3428.57
67,47,44,26.76476721,81.76939302,7.911313624,279.6085156,rice,kolhapur,2011,107,7,Maharashtra,104.9,280.88,2677.6
97,36,45,22.11374076,81.84518556,6.943507635,279.2431616,rice,hoshangabad,1989,43,6,Madhya Pradesh,12,12.4,1033.33
86,59,35,25.78175154,82.13129077,6.92714346,243.1604486,rice,guntur,1999,49,1,Andhra Pradesh,375.24,1169.84,3117.55
94,53,40,20.31907845,82.87804311,5.721391429,241.025257,rice,east godavari,1994,46,1,Andhra Pradesh,400,1005,2512.5
96,55,42,26.78525895,82.15704033,5.930389054,192.1250032,rice,east godavari,1996,46,1,Andhra Pradesh,422,1017,2409.95
72,40,38,20.43758546,82.17503417,7.596137717,244.86859,rice,mandya,1979,68,5,Karnataka,70,203.5,2907.14
92,35,40,22.19434029,80.32493455,6.331894376,198.9360646,rice,meerut,1990,191,12,Uttar Pradesh,19.62,41.45,2112.37
65,37,40,23.44205121,83.61259468,5.334632299,189.0848379,rice,sangrur,1983,175,9,Punjab,168,596,3547.62
78,42,42,20.16589368,81.61892911,7.636239104,262.6473717,rice,hoshangabad,1993,43,6,Madhya Pradesh,10.7,13.6,1271.03
72,45,35,25.46702836,82.97223765,5.7419488,195.6547996,rice,kolhapur,2002,107,7,Maharashtra,106.1,234.7,2212.06
76,40,43,25.14678421,83.09576952,5.0582397,231.9299047,rice,meerut,2006,191,12,Uttar Pradesh,50.9,113.85,2236.86
99,41,36,24.46433625,82.74916218,6.731572958,183.1985016,rice,hoshangabad,1979,43,6,Madhya Pradesh,11.9,4.2,352.94
99,57,35,26.70157962,81.141711,5.938400338,271.7212613,rice,ahmednagar,2014,102,7,Maharashtra,8.6,2.2,255.81
76,60,39,20.01819784,80.37994442,6.791798997,208.3368372,rice,east godavari,1998,46,1,Andhra Pradesh,414,1044,2521.74
83,58,45,25.68110157,83.5286644,5.891063344,247.0538003,rice,karnal,1990,184,4,Haryana,391.51,1059.84,2707.07
60,51,36,22.7569938,82.81427784,6.042402954,257.4054534,rice,ludhiana,1997,171,9,Punjab,246.3,944.3,3833.94
76,60,39,19.96175422,80.42678887,6.780917338,207.7331139,rice,ludhiana,1983,171,9,Punjab,162,596,3679.01
74,54,38,25.69757858,83.40004112,7.107960427,217.5493723,rice,east godavari,2002,46,1,Andhra Pradesh,301,1043,3465.12
66,60,38,22.10115379,83.44446181,6.394128784,232.1714665,rice,murshidabad,2002,804,13,West Bengal,406.72,1072.8,2637.69
93,58,38,20.60319267,83.77365033,6.918449957,280.3792224,rice,east godavari,1989,46,1,Andhra Pradesh,436.3,1125,2578.5
70,36,42,21.91911536,80.72054944,6.959072182,203.0290398,rice,bareilly,2012,199,12,Uttar Pradesh,83.83,191.38,2282.95
92,35,40,22.19420826,80.3187126,6.383365547,198.7169304,rice,ahmednagar,2016,102,7,Maharashtra,15,26.2,1746.67
88,54,44,25.69369089,83.92648176,6.131742184,233.1977715,rice,kolhapur,1993,107,7,Maharashtra,101.6,244.1,2402.56
93,47,37,21.51484156,82.12853881,6.475267005,296.4354055,rice,bareilly,1988,199,12,Uttar Pradesh,135.2,290.8,2150.89
84,51,35,22.29068294,80.65045101,6.03975221,197.7120571,rice,sangrur,2004,175,9,Punjab,373.8,1739.68,4654.04
88,35,40,23.60909759,83.56522851,5.830026329,291.9878521,rice,karnal,2017,184,4,Haryana,508.45,1927.62,3791.18
67,58,39,25.28902691,80.52595972,5.475274353,220.0190703,rice,gorakhpur,1979,221,12,Uttar Pradesh,272.9,137.8,504.95
60,51,36,22.59049472,82.84409955,6.05351088,257.4281392,rice,gorakhpur,1987,221,12,Uttar Pradesh,290.8,514.4,1768.91
85,58,41,21.6977047,80.29769641,7.018914446,226.2812154,rice,kolhapur,1988,107,7,Maharashtra,98.9,251.8,2546.01
99,41,36,24.43421314,82.73353875,6.716708486,183.5578603,rice,murshidabad,2004,804,13,West Bengal,410.7,1194.42,2908.25
66,53,41,25.01930422,80.53531281,7.754790349,257.6589384,rice,ludhiana,2002,171,9,Punjab,248,1066.8,4301.61
70,36,42,21.83610219,80.77590289,6.939320741,203.8621988,rice,gorakhpur,1988,221,12,Uttar Pradesh,301,518.4,1722.26
74,39,38,23.1452932,84.57529055,7.791515706,233.8815927,rice,mandya,1985,68,5,Karnataka,66.6,221.1,3319.82
91,53,40,26.54697468,81.43509246,5.431006785,265.7046729,rice,hoshangabad,2000,43,6,Madhya Pradesh,11.5,12.9,1121.74
65,37,40,23.29308992,83.63289314,5.331059236,187.7692661,rice,guntur,2012,49,1,Andhra Pradesh,206.87,725.08,3504.99
96,52,36,26.23000667,83.80575882,5.543410014,286.4477336,rice,chhindwara,2000,9,6,Madhya Pradesh,24.8,11,443.55
99,54,37,21.13719102,80.37214955,5.602905972,198.5399101,rice,karnal,2011,184,4,Haryana,492.5,1539.02,3124.93
78,35,44,26.47338494,84.67262903,7.051232961,183.3414071,rice,east godavari,2012,46,1,Andhra Pradesh,401.06,1101.91,2747.49
73,57,41,21.41765179,84.92592061,5.82308602,272.3053862,rice,murshidabad,1994,804,13,West Bengal,345.82,793.19,2293.65
67,59,41,21.88462795,81.0134587,6.009428203,213.7914555,rice,karnal,1990,184,4,Haryana,391.51,1059.84,2707.07
93,35,40,22.20616021,80.32808662,6.354018364,201.0267574,rice,bareilly,1989,199,12,Uttar Pradesh,131.9,284.1,2153.9
68,58,38,23.22623165,83.04249431,6.351792829,221.3995941,rice,sangrur,1980,175,9,Punjab,90,330,3666.67
74,39,38,23.26506424,84.53634971,7.763680783,234.8809302,rice,kolhapur,2014,107,7,Maharashtra,111.8,338.6,3028.62
60,49,44,20.82480084,84.50827219,6.238982712,240.3571956,rice,bareilly,2005,199,12,Uttar Pradesh,177.12,333.84,1884.82
84,50,44,25.4072152,81.39608409,5.929122361,183.2382789,rice,chhindwara,1995,9,6,Madhya Pradesh,19.6,11.1,566.33
98,53,38,20.31079418,81.66440695,5.026547132,270.683712,rice,hoshangabad,1998,43,6,Madhya Pradesh,9.3,12.5,1344.09
99,55,35,21.6726643,80.20477942,6.494109281,278.5572706,rice,karnal,2008,184,4,Haryana,496.47,1362.62,2744.64
73,57,41,21.40199473,84.93709835,5.863654292,271.7374233,rice,mandya,2012,68,5,Karnataka,49.95,155.66,3116.32
63,44,41,24.16939951,83.74397368,5.596208651,256.4820672,rice,meerut,2009,191,12,Uttar Pradesh,63.75,164.76,2584.26
97,36,45,22.17517272,81.86954285,6.948527548,277.7787295,rice,east godavari,2005,46,1,Andhra Pradesh,387.42,1149.65,2967.45
71,46,40,20.31373359,82.12948672,7.234160363,192.7583478,rice,bareilly,2005,199,12,Uttar Pradesh,177.12,333.84,1884.82
95,52,36,26.2758697,83.82884022,5.54444962,287.5077667,rice,ahmednagar,2008,102,7,Maharashtra,9.3,9.1,978.49
69,37,42,23.07131337,83.35642078,7.080890096,250.872267,rice,karnal,1987,184,4,Haryana,309,746,2414.24
